Race,Winner,no,Crash,Who fucked up?
Australia 2015,Hamilton,1,Yes,Maldonado
Malaysia 2015,Hamilton,2,No,
China 2015,Hamilton,3,No,
Bahrein 2015,Hamilton,4,No,
Spain 2015,Rosberg,5,Yes,Maldonado
Monaco 2015,Rosberg,6,Yes,Verstappen
Canada 2015,Hamilton,7,No,
Austria 2015,Hamilton,8,Yes,Raikonnen Alonso
United Kingdom 2015,Hamilton,9,Yes,Grosjean Button
Hungary 2015,Hamilton,10,No,
Belgium 2015,Hamilton,11,No,
Italy 2015,Hamilton,12,Yes,Grosjean Maldonado
Singapore 2015,Vettel,13,Yes,Hulkenberg
Japan 2015,Rosberg,14,No,
Russia 2015,Hamilton,15,Yes,Hulkenberg Ericsson
United States 2015,Hamilton,16,Yes,Hulkenberg Kyvat
Mexico 2015,Rosberg,17,Yes,Vettel Raikkonen
Brazil 2015,Rosberg,18,No,
Abu Dhabi 2015,Rosberg,19,Yes,Maldonado